X,Y,OBJECTID,Name
1496895.256,509781.1247,1212,Food Lion
1445370.006,621016.7191,1213,Harris Teeter
1480313.915,510105.2884,1214,Harris Teeter
1480258.715,509673.4477,1215,Food Lion
1436462.535,634260.6359,1216,Harris Teeter
1454310.508,531082.169,1217,Harris Teeter
1447381.083,519010.3821,1218,Harris Teeter
1447433.586,635248.1021,1219,Harris Teeter
1410914.421,519342.9973,1220,Harris Teeter
1462465.735,569213.5609,1221,Save-A-Lot
1452820.98,513952.5697,1222,Whole Foods Market
1417526.838,577274.9126,1223,Bi-Lo
1442116.659,621349.3464,1224,Whole Foods Market
1449321.399,485282.3039,1225,Earth Fare 
1419782.474,579871.7709,1226,Walmart Supercenter
1482020.666,489891.5965,1227,Harris Teeter
1482333.813,553495.3558,1228,Food Lion
1445431.585,571090.9453,1229,Aldi
1444939.66,502415.9271,1230,Harris Teeter
1446429.351,642395.6527,1231,Harris Teeter
1483288.668,503359.6303,1232,Aldi
1437667.414,487259.192,1233,BJ's Wholesale Club
1446907.529,523865.4164,1234,Harris Teeter
1463164.643,516596.3148,1235,The Fresh Market
1446721.269,532910.3546,1236,Food Lion
1480035.507,573328.4123,1237,Food Lion
1480876.648,533363.6077,1238,Save-A-Lot
1484059.302,559427.341,1239,Food Lion
1438529.959,493374.8159,1240,Kmart
1459767.64,472750.8916,1241,Target
1442543.312,533306.0327,1242,Harris Teeter
1488681.041,508216.846,1243,Sam's Club
1481220.053,545658.5601,1244,Compare Foods
1482259.159,489626.684,1245,Publix
1489400.095,522738.6401,1246,Harris Teeter
1419263.667,578558.9782,1247,Harris Teeter
1463929.27,581908.4998,1248,Food Lion
1454663.2,516985.649,1249,Earth Fare
1508098.018,525079.179,1250,Food Lion
1435902.678,493130.2958,1251,India Grocers
1454738.202,502318.9372,1252,Harris Teeter
1481341.616,509417.0276,1253,Healthy Home Market
1441178.618,636780.0564,1254,The Fresh Market
1438312.662,546310.6759,1255,Aldi
1459266.979,539999.9527,1256,Harris Teeter
1448850.088,540383.7377,1257,Whole Foods
1490353.447,505339.4889,1258,Costco
1443988.906,535320.4745,1259,Publix
1405207.62,498265.2202,1260,Harris Teeter
1457402.822,481954.6314,1261,Target
1463271.112,529358.3116,1262,Food Lion
1480305.97,518535.4103,1263,Super G Market
1471024.989,479155.5222,1264,Whole Foods
1494984.859,536273.7603,1265,Food Lion
1463274.453,565095.9609,1266,Food Lion
1480874.681,533323.656,1267,Harveys
1481728.423,533256.5935,1268,Aldi
1446790.365,635860.1366,1269,Food Lion
1503305.812,521377.8239,1270,Harris Teeter
1436853.143,622932.4413,1271,Harris Teeter
1446284.862,469000.2777,1272,Harris Teeter
1459290.448,498501.8884,1273,Harris Teeter
1406071.067,498728.9765,1274,Publix
1472909.07,560629.3852,1275,Around the World Market
1444851.146,493549.2152,1276,Food Lion
1475071.176,535524.6565,1277,Compare Foods
1464324.784,553787.6341,1278,Compare Foods
1447550.342,491976.8109,1279,The Fresh Market
1484664.22,541161.266,1280,Food Lion
1467237.284,499108.4557,1281,Food Lion
1443686.095,492043.0778,1282,Walmart Neighborhood Market
1445290.908,608946.6091,1283,Harris Teeter
1450192.414,523411.4514,1284,Reids Fine Foods
1489068.765,504314.6002,1285,Harris Teeter
1478661.539,566483.8721,1286,Target
1420162.505,509455.3947,1287,Food Lion
1457385.409,481985.342,1288,Harris Teeter
1481260.038,509603.3665,1289,Walmart Supercenter
1454058.291,515470.9978,1290,Harris Teeter
1422723.62,512251.5744,1291,Walmart Supercenter
1422918.73,512431.476,1292,Publix
1444527.952,608707.5384,1293,Publix
1467230.626,593195.9778,1294,Bi-Lo
1483512.457,526596.0904,1295,Food Lion
1436242.415,491211.9341,1296,Bi-Lo
1421698.186,549848.702,1297,Food Lion
1421353.649,579715.5035,1298,Harris Teeter
1467726.008,536411.5553,1299,Food Lion
1446521.52,475353.0072,1300,Publix
1444892.535,571141.8533,1301,Food Lion
1438847.698,520065.212,1302,Aldi
1492643.606,573669.4933,1303,Food Lion
1451762.526,537332.9459,1304,Trader Joe's
1415375.061,503837.0608,1305,Aldi
1470298.408,483677.7864,1306,Harris Teeter
1445543.041,620998.3396,1307,Target
1437746.463,546794.2665,1308,Compare Foods
1495629.295,527911.8515,1309,Food Lion
1463623.116,547522.2801,1310,Giant Penny 
1476870.21,549756.3072,1311,Wow Supermarket 2
1431853.659,550251.4358,1312,Food Lion
1505014.111,550584.7908,1313,Food Lion
1477257.967,573648.8565,1314,Sam's Club
1469499.921,532782.3441,1315,Walmart Supercenter
1410655.561,518814.9022,1316,Harris Teeter
1469012.061,575888.5646,1317,Harris Teeter
1440899.2,493565.3946,1318,Aldi
1462689.509,546493.1188,1319,Food Lion
1435737.804,490667.0277,1320,Food Lion
1468542.1,550566.8853,1321,Asian Market
1451235.48,515796.7334,1322,Reids Fine Foods
1453685.184,549937.8665,1323,Wayne's Super Market
1507794.39,524613.1396,1324,Aldi
1436152.024,548321.127,1325,Save-A-Lot
1437120.938,586234.3782,1326,Food Lion
1448696.043,533841.2527,1327,Harris Teeter
1462130.882,524454.6757,1328,Publix
1466717.55,495593.9788,1329,Walmart
1436337.421,519768.2766,1330,Costco
1439250.943,517016.6528,1331,Food Lion
1437265.648,499817.8414,1332,Target
1433554.968,547697.8664,1333,Harveys
1439460.606,523227.0489,1334,Mas Por Menos
1473511.297,583387.4407,1335,Harris Teeter
1447437.956,609310.399,1336,Food Lion 
1469061.524,550781.3596,1337,Save-A-Lot
1459781.028,581421.2176,1338,Harris Teeter
1451916.46,537876.1551,1339,BJ's Wholesale Club
1495464.845,536272.5946,1340,Wal-Mart Super Center
1438275.526,492262.6364,1341,Patel Brothers
1434503.748,542003.5691,1342,Walmart Supercenter
1477116.617,549909.6845,1343,Mas Por Menos
1449290.224,533231.2451,1344,The Fresh Market 
1484381.091,532304.0445,1345,Walmart Neighborhood Market
1466233.126,495308.7907,1346,Harris Teeter
1451916.46,537876.1551,1347,Target
1407423.63,570744.1241,1348,Food Lion 
1449543.358,642928.5614,1349,Healthy Home Market
1476105.307,566366.2641,1350,Walmart Supercenter
1433864.271,509510.2745,1351,Compare Foods
1481194.843,567846.4183,1352,Harris Teeter
1477706.772,566116.7774,1353,Patel Brothers
1468035.326,594973.8322,1354,Aldi
1489013.878,581538.6409,1355,Walmart Neighborhood Market
1462478.411,523782.2404,1356,Harris Teeter
1446401.02,555944.3653,1357,Food Lion
1489468.776,504637.9509,1358,Target
1438044.734,488753.1746,1359,Sam's Club
1466555.243,595974.3584,1360,Publix
1406046.556,496676.7401,1361,Target
1455261.01,595240.1909,1362,Walmart Supercenter
1467917.388,537111.9027,1363,Atlantic Farmers Market
1456871.355,478969.8782,1364,Bi-Lo
1478981.511,566699.8665,1365,India Grocers
1471631.711,537387.0291,1366,Sav-Way
1459640.456,473601.6554,1367,Harris Teeter
1438331.186,510362.3682,1368,Compare Foods
1468320.526,594792.6541,1369,Harris Teeter
1470378.132,482398.4416,1370,The Fresh Market
1449624.323,544019.7763,1371,Harris Teeter
1476888.55,581969.5548,1372,Trader Joe's
1443943.123,607187.7209,1373,Earth Fare
1442928.018,590455.9682,1374,Food Lion
1435329.769,621791.65,1375,Harris Teeter
1446507.4,479105.7933,1376,Harris Teeter
1465630.204,553749.0203,1377,International Supermarket
1470417.009,478978.954,1378,Harris Teeter
1437254.741,633282.0807,1379,Publix
1456520.132,488494.3615,1380,Trader Joe's
1446181.708,587117.8515,1381,Target
1504060.358,521559.2359,1382,Publix 
1414629.736,560057.2272,1383,Food Lion
1472658.569,584138.0845,1384,The Fresh Market
1479871.105,567174.6808,1385,Alsalam Market
1482950.58,504481.6622,1386,Minos Imported Foods Inc
1466296.051,549428.9013,1387,Sierra International Market
1455046.171,533608.9845,1388,Laurel Market
1446884.982,474950.5309,1389,Sprouts Farmers Market
1455685.997,527957.1903,1390,Pasta & Provisions
1439617.414,544547.1821,1391,Columbus Circle Grocery
1443508.001,539400.7997,1392,Pasta & Provisions
1454483.741,537728.5802,1393,Earl's Grocery
1441645.601,637762.8241,1394,Ferrucci's Old Tyme Italian Market
1470100.397,542464.3877,1395,Kilborne Mart
1457501.333,550815.5839,1396,Southland Supermarket
1457173.401,549766.0289,1397,1 Stop
1461772.63,545882.0941,1398,Savanh Borkeo Market
1458925.599,551171.1347,1399,BargainMax
1474087.51,533118.7634,1400,Nile Grocery & Cafe
1474232.37,533739.0626,1401,Lucky Oriental Grocery
1467606.701,536183.9977,1402,CHEF'STORE
1463968.027,547990.209,1403,Mike's Grocery
1463684.046,532287.9596,1404,Reid's Fine Foods
1452457.12,560912.0509,1405,Jerry's Market
1439597.456,527211.7328,1406,Anh Dao Sakura Oriental Market
1486212.325,503141.904,1407,The Loyalist Market
1471232.624,537480.609,1408,Kim Anh Oriental Grocery & Gifts
1446986.93,520974.101,1409,Pasta & Provisions
1473658.623,536743.6528,1410,La Luna
1451283.532,612458.7815,1411,La Pasadita
1451281.489,572658.6196,1412,JustSave Foods
1460621.86,569083.8141,1413,La Preferida
1475203.168,526425.3453,1414,Dollar Grocery
1478530.748,533540.312,1415,Island Grocery & Grill
1479718.107,533437.5734,1416,Carniceria Jalisco
1472566.093,558979.3776,1417,El Mariachi
1439168.072,514602.7564,1418,Romero's Super Market
1501134.272,534827.3997,1419,Perry's Market
1488651.293,501134.4628,1420,Harris Teeter Inc
1478545.85,566467.511,1421,Patel Brothers
1470400.265,480358.3508,1422,Charlotte Vitamins & Health
1442534.785,492046.7408,1423,Walmart Neighborhood Market
1438667.025,600395.8207,1424,Tesh's Grocery
1486193.162,571138.8422,1425,Gandhi India Market
1489504.253,504661.9666,1426,Target
1425780.169,527277.8721,1427,Publix/Charlotte Division Office
1465617.652,553749.8907,1428,Deekos African Market
1480396.002,510091.462,1429,A&A International Food
1431845.526,550254.2366,1430,La Acapulquena
